Row,CMPP,RPPV,TIME_1900,RCPP,SOLSTATE,EMA
503016,3.11061,4248.227,44194.789186036,4.21061,17,4248.227
503033,3.109311,4248.227,44194.789198630,4.209311,17,4248.227
503050,3.11061,4248.227,44194.789211222,4.21061,17,4248.227
503067,3.109311,4226.985,44194.789223813,4.209311,17,4226.985
503084,3.109311,4205.744,44194.789236407,4.209311,17,4205.744
503101,3.11061,4184.503,44194.789248999,4.21061,17,4184.503
503118,3.109311,4184.503,44194.789261593,4.209311,17,4184.503
503135,3.11061,4184.503,44194.789274184,4.21061,17,4184.503
503152,3.11061,4184.503,44194.789286776,4.21061,17,4184.503
503169,3.11061,4184.503,44194.789299370,4.21061,17,4184.503
503186,3.109311,4184.503,44194.789311962,4.209311,17,4184.503
503203,3.109311,4184.503,44194.789324556,4.209311,17,4184.503
503220,3.109311,4184.503,44194.789337148,4.209311,17,4184.503
503237,3.109311,4184.503,44194.789349739,4.209311,17,4184.503
503254,3.11061,4184.503,44194.789362333,4.21061,17,4184.503
503271,3.109311,4184.503,44194.789374925,4.209311,17,4184.503
503288,3.11061,4184.503,44194.789387519,4.21061,17,4184.503
503305,3.11061,4184.503,44194.789400111,4.21061,17,4184.503
503322,3.11061,4184.503,44194.789412702,4.21061,17,4184.503
503339,3.109311,4184.503,44194.789425296,4.209311,17,4184.503
503356,3.109311,4184.503,44194.789437888,4.209311,17,4184.503
503373,3.11061,4184.503,44194.789450482,4.21061,17,4184.503
503390,3.109311,4184.503,44194.789463073,4.209311,17,4184.503
503407,3.109311,4184.503,44194.789475665,4.209311,17,4184.503
503424,3.111909,2612.659,44194.789488259,4.211909,0,2612.659
503441,3.11061,2612.659,44194.789500851,4.21061,0,2612.659
503458,3.111909,2591.418,44194.789513445,4.211909,0,2591.418
503475,3.11061,2591.418,44194.789526036,4.21061,0,2591.418
503492,3.111909,2570.176,44194.789538628,4.211909,0,2570.176
503509,3.11061,2548.935,44194.789551222,4.21061,0,2548.935
503526,3.111909,2527.695,44194.789563814,4.211909,0,2527.695
503543,3.111909,2506.454,44194.789576408,4.211909,0,2506.454
503560,3.111909,2485.213,44194.789588999,4.211909,0,2485.213
503577,3.111909,2463.971,44194.789601591,4.211909,0,2463.971
503594,3.11061,2463.971,44194.789614185,4.21061,0,2463.971
503611,3.111909,2442.73,44194.789626777,4.211909,0,2442.73
503628,3.11061,2421.489,44194.789639371,4.21061,0,2421.489
503645,3.111909,2400.249,44194.789651962,4.211909,0,2400.249
503662,3.111909,2379.006,44194.789664554,4.211909,0,2379.006
503679,3.11061,2379.006,44194.789677148,4.21061,0,2379.006
503696,3.111909,2357.765,44194.789689740,4.211909,0,2357.765
503713,3.111909,2336.524,44194.789702334,4.211909,0,2336.524
503730,3.111909,2315.284,44194.789714925,4.211909,0,2315.284
503747,3.111909,2315.284,44194.789727517,4.211909,0,2315.284
503764,3.111909,2294.042,44194.789740111,4.211909,0,2294.042
503781,3.113212,2272.801,44194.789752703,4.213212,0,2272.801
503798,3.111909,2251.56,44194.789765296,4.211909,0,2251.56
503815,3.113212,2251.56,44194.789777888,4.213212,0,2251.56
503832,3.111909,2230.319,44194.789790480,4.211909,0,2230.319
503849,3.113212,2209.077,44194.789803074,4.213212,0,2209.077
503866,3.114512,2209.077,44194.789815666,4.214512,0,2209.077
503883,3.113212,2187.836,44194.789828259,4.213212,0,2187.836
503900,3.114512,2166.595,44194.789840851,4.214512,0,2166.595
503917,3.113212,2166.595,44194.789853443,4.213212,0,2166.595
503934,3.114512,2145.355,44194.789866037,4.214512,0,2145.355
503951,3.113212,2124.113,44194.789878629,4.213212,0,2124.113
503968,3.113212,2124.113,44194.789891222,4.213212,0,2124.113
503985,3.114512,2102.872,44194.789903814,4.214512,0,2102.872
504002,3.113212,2081.631,44194.789916406,4.213212,0,2081.631
504019,3.114512,2081.631,44194.789929000,4.214512,0,2081.631
504036,3.113212,2060.39,44194.789941592,4.213212,0,2060.39
504053,3.114512,2039.148,44194.789954185,4.214512,0,2039.148
504070,3.113212,2039.148,44194.789966777,4.213212,0,2039.148
504087,3.113212,2017.907,44194.789979369,4.213212,0,2017.907
504104,3.113212,2017.907,44194.789991963,4.213212,0,2017.907
504121,3.113212,1996.666,44194.790004555,4.213212,0,1996.666
504138,3.114512,1975.426,44194.790017148,4.214512,0,1975.426
504155,3.113212,1975.426,44194.790029740,4.213212,0,1975.426
504172,3.114512,1954.185,44194.790042332,4.214512,0,1954.185
504189,3.114512,1954.185,44194.790054926,4.214512,0,1954.185
504206,3.114512,1932.943,44194.790067518,4.214512,0,1932.943
504223,3.114512,1911.702,44194.790080111,4.214512,0,1911.702
504240,3.113212,1911.702,44194.790092703,4.213212,0,1911.702
504257,3.114512,1890.461,44194.790105295,4.214512,0,1890.461
504274,3.114512,1890.461,44194.790117889,4.214512,0,1890.461
