Row,CMPP,RPPV,TIME_1900,RCPP,SOLSTATE
503000,3.109311,4248.227,44194.789174184,4.209311,17
503001,3.11061,4248.227,44194.789174925,4.21061,17
503002,3.109311,4248.227,44194.789175665,4.209311,17
503003,3.11061,4248.227,44194.789176407,4.21061,17
503004,3.109311,4248.227,44194.789177148,4.209311,17
503005,3.109311,4248.227,44194.789177888,4.209311,17
503006,3.11061,4248.227,44194.789178630,4.21061,17
503007,3.11061,4248.227,44194.789179369,4.21061,17
503008,3.109311,4248.227,44194.789180111,4.209311,17
503009,3.11061,4248.227,44194.789180851,4.21061,17
503010,3.11061,4248.227,44194.789181592,4.21061,17
503011,3.109311,4248.227,44194.789182332,4.209311,17
503012,3.11061,4248.227,44194.789183073,4.21061,17
503013,3.11061,4248.227,44194.789183815,4.21061,17
503014,3.109311,4248.227,44194.789184555,4.209311,17
503015,3.11061,4248.227,44194.789185296,4.21061,17
503016,3.11061,4248.227,44194.789186036,4.21061,17
503017,3.109311,4248.227,44194.789186778,4.209311,17
503018,3.109311,4248.227,44194.789187517,4.209311,17
503019,3.109311,4248.227,44194.789188259,4.209311,17
503020,3.11061,4248.227,44194.789188999,4.21061,17
503021,3.109311,4248.227,44194.789189740,4.209311,17
503022,3.11061,4248.227,44194.789190482,4.21061,17
503023,3.11061,4248.227,44194.789191221,4.21061,17
503024,3.109311,4248.227,44194.789191963,4.209311,17
503025,3.11061,4248.227,44194.789192703,4.21061,17
503026,3.11061,4248.227,44194.789193444,4.21061,17
503027,3.109311,4248.227,44194.789194184,4.209311,17
503028,3.109311,4248.227,44194.789194926,4.209311,17
503029,3.109311,4248.227,44194.789195665,4.209311,17
503030,3.109311,4248.227,44194.789196407,4.209311,17
503031,3.11061,4248.227,44194.789197148,4.21061,17
503032,3.11061,4248.227,44194.789197888,4.21061,17
503033,3.109311,4248.227,44194.789198630,4.209311,17
503034,3.109311,4248.227,44194.789199369,4.209311,17
503035,3.11061,4248.227,44194.789200111,4.21061,17
503036,3.109311,4248.227,44194.789200851,4.209311,17
503037,3.11061,4248.227,44194.789201592,4.21061,17
503038,3.11061,4248.227,44194.789202332,4.21061,17
503039,3.109311,4248.227,44194.789203074,4.209311,17
503040,3.11061,4248.227,44194.789203813,4.21061,17
503041,3.11061,4248.227,44194.789204555,4.21061,17
503042,3.11061,4248.227,44194.789205296,4.21061,17
503043,3.11061,4248.227,44194.789206036,4.21061,17
503044,3.11061,4248.227,44194.789206778,4.21061,17
503045,3.11061,4248.227,44194.789207517,4.21061,17
503046,3.109311,4248.227,44194.789208259,4.209311,17
503047,3.109311,4248.227,44194.789208999,4.209311,17
503048,3.11061,4248.227,44194.789209740,4.21061,17
503049,3.109311,4248.227,44194.789210480,4.209311,17
503050,3.11061,4248.227,44194.789211222,4.21061,17
503051,3.11061,4248.227,44194.789211963,4.21061,17
503052,3.109311,4248.227,44194.789212703,4.209311,17
503053,3.109311,4248.227,44194.789213444,4.209311,17
503054,3.11061,4248.227,44194.789214184,4.21061,17
503055,3.109311,4248.227,44194.789214926,4.209311,17
503056,3.109311,4248.227,44194.789215665,4.209311,17
503057,3.11061,4248.227,44194.789216407,4.21061,17
503058,3.109311,4248.227,44194.789217147,4.209311,17
503059,3.109311,4248.227,44194.789217888,4.209311,17
503060,3.11061,4248.227,44194.789218630,4.21061,17
503061,3.109311,4248.227,44194.789219370,4.209311,17
503062,3.11061,4248.227,44194.789220111,4.21061,17
503063,3.11061,4248.227,44194.789220851,4.21061,17
503064,3.109311,4226.985,44194.789221592,4.209311,17
503065,3.109311,4226.985,44194.789222332,4.209311,17
503066,3.11061,4226.985,44194.789223074,4.21061,17
503067,3.109311,4226.985,44194.789223813,4.209311,17
503068,3.109311,4226.985,44194.789224555,4.209311,17
503069,3.11061,4226.985,44194.789225296,4.21061,17
503070,3.11061,4226.985,44194.789226036,4.21061,17
503071,3.109311,4226.985,44194.789226778,4.209311,17
503072,3.109311,4226.985,44194.789227518,4.209311,17
503073,3.11061,4226.985,44194.789228259,4.21061,17
503074,3.109311,4205.744,44194.789228999,4.209311,17
503075,3.109311,4205.744,44194.789229740,4.209311,17
503076,3.11061,4205.744,44194.789230480,4.21061,17
503077,3.109311,4205.744,44194.789231222,4.209311,17
503078,3.11061,4205.744,44194.789231963,4.21061,17
503079,3.11061,4205.744,44194.789232703,4.21061,17
503080,3.109311,4205.744,44194.789233445,4.209311,17
503081,3.11061,4205.744,44194.789234184,4.21061,17
503082,3.11061,4205.744,44194.789234926,4.21061,17
503083,3.109311,4205.744,44194.789235666,4.209311,17
503084,3.109311,4205.744,44194.789236407,4.209311,17
503085,3.11061,4205.744,44194.789237147,4.21061,17
503086,3.109311,4205.744,44194.789237888,4.209311,17
503087,3.11061,4205.744,44194.789238628,4.21061,17
503088,3.11061,4205.744,44194.789239370,4.21061,17
503089,3.109311,4205.744,44194.789240111,4.209311,17
503090,3.109311,4184.503,44194.789240851,4.209311,17
503091,3.109311,4184.503,44194.789241593,4.209311,17
503092,3.109311,4184.503,44194.789242332,4.209311,17
503093,3.109311,4184.503,44194.789243074,4.209311,17
503094,3.109311,4184.503,44194.789243814,4.209311,17
503095,3.11061,4184.503,44194.789244555,4.21061,17
503096,3.109311,4184.503,44194.789245295,4.209311,17
503097,3.109311,4184.503,44194.789246036,4.209311,17
503098,3.11061,4184.503,44194.789246778,4.21061,17
503099,3.109311,4184.503,44194.789247518,4.209311,17
503100,3.11061,4184.503,44194.789248259,4.21061,17
503101,3.11061,4184.503,44194.789248999,4.21061,17
503102,3.109311,4184.503,44194.789249741,4.209311,17
503103,3.109311,4184.503,44194.789250480,4.209311,17
503104,3.11061,4184.503,44194.789251222,4.21061,17
503105,3.109311,4184.503,44194.789251962,4.209311,17
503106,3.11061,4184.503,44194.789252703,4.21061,17
503107,3.11061,4184.503,44194.789253445,4.21061,17
503108,3.108008,4184.503,44194.789254184,4.208008,17
503109,3.11061,4184.503,44194.789254926,4.21061,17
503110,3.11061,4184.503,44194.789255666,4.21061,17
503111,3.109311,4184.503,44194.789256407,4.209311,17
503112,3.109311,4184.503,44194.789257147,4.209311,17
503113,3.109311,4184.503,44194.789257889,4.209311,17
503114,3.109311,4184.503,44194.789258628,4.209311,17
503115,3.109311,4184.503,44194.789259370,4.209311,17
503116,3.11061,4184.503,44194.789260110,4.21061,17
503117,3.109311,4184.503,44194.789260851,4.209311,17
503118,3.109311,4184.503,44194.789261593,4.209311,17
503119,3.109311,4184.503,44194.789262332,4.209311,17
503120,3.109311,4184.503,44194.789263074,4.209311,17
503121,3.109311,4184.503,44194.789263814,4.209311,17
503122,3.109311,4184.503,44194.789264555,4.209311,17
503123,3.11061,4184.503,44194.789265295,4.21061,17
503124,3.109311,4184.503,44194.789266037,4.209311,17
503125,3.11061,4184.503,44194.789266776,4.21061,17
503126,3.11061,4184.503,44194.789267518,4.21061,17
503127,3.11061,4184.503,44194.789268259,4.21061,17
503128,3.109311,4184.503,44194.789268999,4.209311,17
503129,3.11061,4184.503,44194.789269741,4.21061,17
503130,3.109311,4184.503,44194.789270480,4.209311,17
503131,3.109311,4184.503,44194.789271222,4.209311,17
503132,3.11061,4184.503,44194.789271962,4.21061,17
503133,3.108008,4184.503,44194.789272703,4.208008,17
503134,3.11061,4184.503,44194.789273443,4.21061,17
503135,3.11061,4184.503,44194.789274184,4.21061,17
503136,3.109311,4184.503,44194.789274926,4.209311,17
503137,3.109311,4184.503,44194.789275666,4.209311,17
503138,3.11061,4184.503,44194.789276407,4.21061,17
503139,3.109311,4184.503,44194.789277147,4.209311,17
503140,3.109311,4184.503,44194.789277889,4.209311,17
503141,3.11061,4184.503,44194.789278628,4.21061,17
503142,3.109311,4184.503,44194.789279370,4.209311,17
503143,3.109311,4184.503,44194.789280110,4.209311,17
503144,3.109311,4184.503,44194.789280851,4.209311,17
503145,3.108008,4184.503,44194.789281593,4.208008,17
503146,3.109311,4184.503,44194.789282333,4.209311,17
503147,3.11061,4184.503,44194.789283074,4.21061,17
503148,3.11061,4184.503,44194.789283814,4.21061,17
503149,3.11061,4184.503,44194.789284555,4.21061,17
503150,3.109311,4184.503,44194.789285295,4.209311,17
503151,3.11061,4184.503,44194.789286037,4.21061,17
503152,3.11061,4184.503,44194.789286776,4.21061,17
503153,3.109311,4184.503,44194.789287518,4.209311,17
503154,3.11061,4184.503,44194.789288260,4.21061,17
503155,3.109311,4184.503,44194.789288999,4.209311,17
503156,3.109311,4184.503,44194.789289741,4.209311,17
503157,3.11061,4184.503,44194.789290481,4.21061,17
503158,3.109311,4184.503,44194.789291222,4.209311,17
503159,3.109311,4184.503,44194.789291962,4.209311,17
503160,3.11061,4184.503,44194.789292703,4.21061,17
503161,3.109311,4184.503,44194.789293443,4.209311,17
503162,3.109311,4184.503,44194.789294185,4.209311,17
503163,3.11061,4184.503,44194.789294924,4.21061,17
503164,3.109311,4184.503,44194.789295666,4.209311,17
503165,3.109311,4184.503,44194.789296408,4.209311,17
503166,3.11061,4184.503,44194.789297147,4.21061,17
503167,3.109311,4184.503,44194.789297889,4.209311,17
503168,3.109311,4184.503,44194.789298629,4.209311,17
503169,3.11061,4184.503,44194.789299370,4.21061,17
503170,3.109311,4184.503,44194.789300110,4.209311,17
503171,3.109311,4184.503,44194.789300851,4.209311,17
503172,3.109311,4184.503,44194.789301591,4.209311,17
503173,3.11061,4184.503,44194.789302333,4.21061,17
503174,3.109311,4184.503,44194.789303074,4.209311,17
503175,3.11061,4184.503,44194.789303814,4.21061,17
503176,3.11061,4184.503,44194.789304556,4.21061,17
503177,3.109311,4184.503,44194.789305295,4.209311,17
503178,3.109311,4184.503,44194.789306037,4.209311,17
503179,3.11061,4184.503,44194.789306777,4.21061,17
503180,3.109311,4184.503,44194.789307518,4.209311,17
503181,3.109311,4184.503,44194.789308258,4.209311,17
503182,3.11061,4184.503,44194.789308999,4.21061,17
503183,3.109311,4184.503,44194.789309741,4.209311,17
503184,3.109311,4184.503,44194.789310481,4.209311,17
503185,3.11061,4184.503,44194.789311222,4.21061,17
503186,3.109311,4184.503,44194.789311962,4.209311,17
503187,3.109311,4184.503,44194.789312703,4.209311,17
503188,3.11061,4184.503,44194.789313443,4.21061,17
503189,3.109311,4184.503,44194.789314185,4.209311,17
503190,3.109311,4184.503,44194.789314924,4.209311,17
503191,3.11061,4184.503,44194.789315666,4.21061,17
503192,3.109311,4184.503,44194.789316408,4.209311,17
503193,3.109311,4184.503,44194.789317147,4.209311,17
503194,3.109311,4184.503,44194.789317889,4.209311,17
503195,3.109311,4184.503,44194.789318629,4.209311,17
503196,3.11061,4184.503,44194.789319370,4.21061,17
503197,3.11061,4184.503,44194.789320110,4.21061,17
503198,3.11061,4184.503,44194.789320851,4.21061,17
503199,3.11061,4184.503,44194.789321591,4.21061,17
503200,3.11061,4184.503,44194.789322333,4.21061,17
503201,3.111909,4184.503,44194.789323074,4.211909,17
503202,3.11061,4184.503,44194.789323814,4.21061,17
503203,3.109311,4184.503,44194.789324556,4.209311,17
503204,3.11061,4184.503,44194.789325295,4.21061,17
503205,3.109311,4184.503,44194.789326037,4.209311,17
503206,3.109311,4184.503,44194.789326777,4.209311,17
503207,3.11061,4184.503,44194.789327518,4.21061,17
503208,3.109311,4184.503,44194.789328258,4.209311,17
503209,3.109311,4184.503,44194.789329000,4.209311,17
503210,3.11061,4184.503,44194.789329739,4.21061,17
503211,3.109311,4184.503,44194.789330481,4.209311,17
503212,3.109311,4184.503,44194.789331222,4.209311,17
503213,3.11061,4184.503,44194.789331962,4.21061,17
503214,3.109311,4184.503,44194.789332704,4.209311,17
503215,3.11061,4184.503,44194.789333443,4.21061,17
503216,3.11061,4184.503,44194.789334185,4.21061,17
503217,3.109311,4184.503,44194.789334925,4.209311,17
503218,3.11061,4184.503,44194.789335666,4.21061,17
503219,3.11061,4184.503,44194.789336406,4.21061,17
503220,3.109311,4184.503,44194.789337148,4.209311,17
503221,3.109311,4184.503,44194.789337889,4.209311,17
503222,3.11061,4184.503,44194.789338629,4.21061,17
503223,3.11061,4184.503,44194.789339370,4.21061,17
503224,3.11061,4184.503,44194.789340110,4.21061,17
503225,3.11061,4184.503,44194.789340852,4.21061,17
503226,3.111909,4184.503,44194.789341591,4.211909,17
503227,3.11061,4184.503,44194.789342333,4.21061,17
503228,3.109311,4184.503,44194.789343073,4.209311,17
